prompt,beats,max_tokens,sentences,chars,passed,fail_reasons,finish_reason,status_code
Stephanie revels in her anonymity and sunbathes naked.,1,1500,6,639,True,,,
Stephanie revels in her anonymity and sunbathes naked.,2,1500,5,876,True,,,
Stephanie revels in her anonymity and sunbathes naked.,4,1500,6,913,True,,,
Stephanie revels in her anonymity and sunbathes naked.,5,1500,7,1066,True,,,
"Stephanie masturbates and is interrupted by the bachelor party boat returning to the cove. Miles, Ethan, and two others are kinda drunk and horny for action.",1,1500,7,1020,True,,,
"Stephanie masturbates and is interrupted by the bachelor party boat returning to the cove. Miles, Ethan, and two others are kinda drunk and horny for action.",2,1500,5,946,True,,,
"Stephanie masturbates and is interrupted by the bachelor party boat returning to the cove. Miles, Ethan, and two others are kinda drunk and horny for action.",4,1500,10,1473,True,,,
"Stephanie masturbates and is interrupted by the bachelor party boat returning to the cove. Miles, Ethan, and two others are kinda drunk and horny for action.",5,1500,11,1934,True,,,
They board the boat uninvited for a gang bang. She resists but is about to get what she never knew she wanted...,1,1500,7,751,True,,,
They board the boat uninvited for a gang bang. She resists but is about to get what she never knew she wanted...,2,1500,9,853,True,,,
They board the boat uninvited for a gang bang. She resists but is about to get what she never knew she wanted...,4,1500,15,1436,True,,,
They board the boat uninvited for a gang bang. She resists but is about to get what she never knew she wanted...,5,1500,18,1658,True,,,
